time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,degraded_maintenances,critical_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,qlearning_epsilon,total_reward,total_positive_reward,total_positive_reward_qty,total_non_positive_reward,total_non_positive_reward_qty,qtable_size
0,NORMAL:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,16218
60000,NORMAL:0,0.0,60000,0,0,0,0,0,0,0,0,0,0,1606,0,0,4,60000,0,1e-06,3926.5,3926.5,1606,0,0,16218
120000,NORMAL:0,0.0,120000,0,0,0,0,0,0,0,0,0,0,3261,0,0,4,120000,0,1e-06,7979.0,7979.0,3261,0,0,16218
180000,NORMAL:0,0.0,180000,0,0,0,0,0,0,0,0,0,0,4915,0,0,4,180000,0,1e-06,12026.5,12026.5,4915,0,0,16218
240000,NORMAL:0,0.0,240000,0,0,0,0,0,0,0,0,0,0,6569,0,0,4,240000,0,1e-06,16078.0,16078.0,6569,0,0,16218
300000,NORMAL:0,0.0,300000,0,0,0,0,0,0,0,0,0,0,8224,0,0,4,300000,0,1e-06,20130.5,20130.5,8224,0,0,16218
360000,NORMAL:0,0.0,360000,0,0,0,0,0,0,0,0,0,0,9879,0,0,4,360000,0,1e-06,24183.0,24183.0,9879,0,0,16218
420000,NORMAL:0,0.0,420000,0,0,0,1000.0,0,1,0,0,1,0,11533,1,1,3,420000,0,1e-06,28836.268617021276,28836.268617021276,11533,0,0,16219
480000,NORMAL:0,0.0,480000,0,0,0,1000.0,0,1,0,0,1,0,13190,1,1,3,480000,0,1e-06,33909.39361702128,33909.39361702128,13190,0,0,16219
540000,NORMAL:0,0.0,540000,0,0,0,1000.0,0,1,0,0,1,0,14842,1,1,3,540000,0,1e-06,38966.26861702128,38966.26861702128,14842,0,0,16219
600000,NORMAL:0,0.0,600000,0,0,0,1000.0,0,1,0,0,1,0,16497,1,1,3,600000,0,1e-06,44031.89361702128,44031.89361702128,16497,0,0,16219
660000,NORMAL:0,0.0,660000,0,0,0,1000.0,0,1,0,0,1,0,18152,1,1,3,660000,0,1e-06,49092.51861702128,49092.51861702128,18152,0,0,16219
