time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,degraded_maintenances,critical_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,qlearning_epsilon,total_reward,total_positive_reward,total_positive_reward_qty,total_non_positive_reward,total_non_positive_reward_qty,qtable_size
0,NORMAL:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,15873
60000,NORMAL:0,0.0,60000,0,0,0,0,0,2,0,2,0,0,1606,2,0,2,60000,0,1e-06,5852.75,5880.75,1604,-28.0,2,15873
120000,NORMAL:0,0.0,120000,0,0,0,2000.0,0,4,9000,3,1,0,3261,4,1,0,111000,9000,1e-06,12212.047872340425,12256.047872340425,3258,-44.0,3,15873
180000,NORMAL:0,0.0,180000,0,0,0,2000.0,0,4,10000,3,1,0,4915,4,1,2,170000,10000,1e-06,18342.797872340423,18386.797872340423,4912,-44.0,3,15873
240000,NORMAL:0,0.0,240000,0,0,0,2000.0,0,4,10000,3,1,0,6569,4,1,3,230000,10000,1e-06,24275.047872340423,24319.047872340423,6566,-44.0,3,15873
300000,NORMAL:0,0.0,300000,0,0,0,2000.0,0,5,10000,4,1,0,8224,5,1,2,290000,10000,1e-06,30153.422872340423,30205.422872340423,8220,-52.0,4,15874
360000,NORMAL:0,0.0,360000,0,0,0,2000.0,0,5,10000,4,1,0,9879,5,1,2,350000,10000,1e-06,36232.17287234042,36284.17287234042,9875,-52.0,4,15874
420000,NORMAL:0,0.0,420000,0,0,0,2000.0,0,6,10000,5,1,0,11533,6,1,2,410000,10000,1e-06,41607.79787234042,41667.79787234042,11528,-60.0,5,15875
480000,NORMAL:0,0.0,480000,0,0,0,2000.0,0,6,10000,5,1,0,13190,6,1,2,470000,10000,1e-06,47695.54787234042,47755.54787234042,13185,-60.0,5,15875
540000,NORMAL:0,0.0,540000,0,0,0,2000.0,0,6,10000,5,1,0,14842,6,1,3,530000,10000,1e-06,53596.79787234042,53656.79787234042,14837,-60.0,5,15875
600000,NORMAL:0,0.0,600000,0,0,0,2000.0,0,6,10000,5,1,0,16497,6,1,3,590000,10000,1e-06,58662.42287234042,58722.42287234042,16492,-60.0,5,15875
660000,NORMAL:0,0.0,660000,0,0,0,2000.0,0,6,10000,5,1,0,18152,6,1,3,650000,10000,1e-06,63723.04787234042,63783.04787234042,18147,-60.0,5,15875
720000,NORMAL:0,0.0,720000,0,0,0,2000.0,0,6,10000,5,1,0,19807,6,1,3,710000,10000,1e-06,68793.67287234042,68853.67287234042,19802,-60.0,5,15875
780000,NORMAL:0,0.0,780000,0,0,0,2000.0,0,6,10000,5,1,0,21463,6,1,3,770000,10000,1e-06,73860.54787234042,73920.54787234042,21458,-60.0,5,15875
840000,NORMAL:0,0.0,840000,0,0,0,2000.0,0,6,10000,5,1,0,23116,6,1,3,830000,10000,1e-06,78918.67287234042,78978.67287234042,23111,-60.0,5,15875
900000,NORMAL:0,0.0,900000,0,0,0,2000.0,0,6,10000,5,1,0,24770,6,1,3,890000,10000,1e-06,83983.04787234042,84043.04787234042,24765,-60.0,5,15875
960000,NORMAL:0,0.0,960000,0,0,0,2000.0,0,6,10000,5,1,0,26426,6,1,3,950000,10000,1e-06,89049.92287234042,89109.92287234042,26421,-60.0,5,15875
1020000,NORMAL:0,0.0,1020000,0,0,0,2000.0,0,6,10000,5,1,0,28080,6,1,3,1010000,10000,1e-06,94109.29787234042,94169.29787234042,28075,-60.0,5,15875
1080000,NORMAL:0,0.0,1080000,0,0,0,2000.0,0,6,10000,5,1,0,29735,6,1,3,1070000,10000,1e-06,99179.92287234042,99239.92287234042,29730,-60.0,5,15875
