time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,correct_role_inference,incorrect_role_inference,correct_state_inference,incorrect_state_inference
1081000,NORMAL:0,0.0,1080000,1000,0,0,0,0,49133072,117000,49077014,343199673,65568891,56058,4,964000,117000,0,343199673,0,343199673
1140000,NORMAL:0,0.0,1139000,1000,0,0,0,0,49133072,117000,49077014,343201280,65568891,56058,4,1023000,117000,0,343201280,0,343201280
1141000,NORMAL:0,0.0,1140000,1000,0,0,0,0,49133072,117000,49077014,343201325,65568891,56058,4,1024000,117000,0,343201325,0,343201325
1200000,NORMAL:0,0.0,1199000,1000,0,0,0,0,49133072,117000,49077014,343202936,65568891,56058,4,1083000,117000,0,343202936,0,343202936
1201000,NORMAL:0,0.0,1200000,1000,0,0,0,0,49133072,117000,49077014,343202982,65568891,56058,4,1084000,117000,0,343202982,0,343202982
1260000,NORMAL:0,0.0,1259000,1000,0,0,0,0,49133072,117000,49077014,343204589,65568891,56058,4,1143000,117000,0,343204589,0,343204589
1261000,NORMAL:0,0.0,1260000,1000,0,0,0,0,49133072,117000,49077014,343204636,65568891,56058,4,1144000,117000,0,343204636,0,343204636
1320000,NORMAL:0,0.0,1319000,1000,0,0,0,0,49133072,117000,49077014,343206245,65568891,56058,4,1203000,117000,0,343206245,0,343206245
1321000,NORMAL:0,0.0,1320000,1000,0,0,0,0,49133072,117000,49077014,343206290,65568891,56058,4,1204000,117000,0,343206290,0,343206290
1380000,NORMAL:0,0.0,1379000,1000,0,0,0,0,49133072,117000,49077014,343207899,65568891,56058,4,1263000,117000,0,343207899,0,343207899
1381000,NORMAL:0,0.0,1380000,1000,0,0,0,0,49133072,117000,49077014,343207945,65568891,56058,4,1264000,117000,0,343207945,0,343207945
1440000,NORMAL:0,0.0,1439000,1000,0,0,0,0,49133072,117000,49077014,343209553,65568891,56058,4,1323000,117000,0,343209553,0,343209553
1441000,NORMAL:0,0.0,1440000,1000,0,0,0,0,49133072,117000,49077014,343209599,65568891,56058,4,1324000,117000,0,343209599,0,343209599
1500000,NORMAL:0,0.0,1499000,1000,0,0,0,0,49133072,117000,49077014,343211208,65568891,56058,4,1383000,117000,0,343211208,0,343211208
1501000,NORMAL:0,0.0,1500000,1000,0,0,0,0,49133072,117000,49077014,343211253,65568891,56058,4,1384000,117000,0,343211253,0,343211253
1560000,NORMAL:0,0.0,1559000,1000,0,0,0,0,49133072,117000,49077014,343212864,65568891,56058,4,1443000,117000,0,343212864,0,343212864
1561000,NORMAL:0,0.0,1560000,1000,0,0,0,0,49133072,117000,49077014,343212910,65568891,56058,4,1444000,117000,0,343212910,0,343212910
1620000,NORMAL:0,0.0,1619000,1000,0,0,0,0,49133072,117000,49077014,343214518,65568891,56058,4,1503000,117000,0,343214518,0,343214518
1621000,NORMAL:0,0.0,1620000,1000,0,0,0,0,49133072,117000,49077014,343214563,65568891,56058,4,1504000,117000,0,343214563,0,343214563
1680000,NORMAL:0,0.0,1679000,1000,0,0,0,0,49133072,117000,49077014,343216172,65568891,56058,4,1563000,117000,0,343216172,0,343216172
1681000,NORMAL:0,0.0,1680000,1000,0,0,0,0,49133072,117000,49077014,343216220,65568891,56058,4,1564000,117000,0,343216220,0,343216220
1740000,NORMAL:0,0.0,1739000,1000,0,0,0,0,49133072,117000,49077014,343217827,65568891,56058,4,1623000,117000,0,343217827,0,343217827
1741000,NORMAL:0,0.0,1740000,1000,0,0,0,0,49133072,117000,49077014,343217871,65568891,56058,4,1624000,117000,0,343217871,0,343217871
1800000,NORMAL:0,0.0,1799000,1000,0,0,0,0,49133072,117000,49077014,343219481,65568891,56058,4,1683000,117000,0,343219481,0,343219481
1801000,NORMAL:0,0.0,1800000,1000,0,0,0,0,49133072,117000,49077014,343219529,65568891,56058,4,1684000,117000,0,343219529,0,343219529
1860000,NORMAL:0,0.0,1859000,1000,0,0,0,0,49133072,117000,49077014,343221137,65568891,56058,4,1743000,117000,0,343221137,0,343221137
1861000,NORMAL:0,0.0,1860000,1000,0,0,0,0,49133072,117000,49077014,343221180,65568891,56058,4,1744000,117000,0,343221180,0,343221180
1920000,NORMAL:0,0.0,1919000,1000,0,0,0,0,49133072,117000,49077014,343222793,65568891,56058,4,1803000,117000,0,343222793,0,343222793
1921000,NORMAL:0,0.0,1920000,1000,0,0,0,0,49133072,117000,49077014,343222837,65568891,56058,4,1804000,117000,0,343222837,0,343222837
1980000,NORMAL:0,0.0,1979000,1000,0,0,0,0,49133072,117000,49077014,343224445,65568891,56058,4,1863000,117000,0,343224445,0,343224445
1981000,NORMAL:0,0.0,1980000,1000,0,0,0,0,49133072,117000,49077014,343224492,65568891,56058,4,1864000,117000,0,343224492,0,343224492
2040000,NORMAL:0,0.0,2039000,1000,0,0,0,0,49133072,117000,49077014,343226101,65568891,56058,4,1923000,117000,0,343226101,0,343226101
2041000,NORMAL:0,0.0,2040000,1000,0,0,0,0,49133072,117000,49077014,343226146,65568891,56058,4,1924000,117000,0,343226146,0,343226146
2100000,NORMAL:0,0.01519756838905775,2099000,1000,0,0,0,0,49133072,117000,49077014,343227754,65568891,56058,4,1983000,117000,0,343227754,0,343227754
2101000,NORMAL:0,0.01519756838905775,2100000,1000,0,0,0,0,49133072,117000,49077014,343227801,65568891,56058,4,1984000,117000,0,343227801,0,343227801
2160000,NORMAL:0,0.01519756838905775,2159000,1000,0,0,0,0,49133072,117000,49077014,343229410,65568891,56058,4,2043000,117000,0,343229410,0,343229410
2161000,NORMAL:0,0.01519756838905775,2160000,1000,0,0,0,0,49133072,117000,49077014,343229456,65568891,56058,4,2044000,117000,0,343229456,0,343229456
