time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,degraded_maintenances,critical_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,qlearning_epsilon,total_reward,total_positive_reward,total_positive_reward_qty,total_non_positive_reward,total_non_positive_reward_qty,qtable_size
2220000,NORMAL:0,0.0,2220000,0,0,0,0,0,0,0,0,0,0,61172,0,0,4,2220000,0,1e-06,149770.5,149770.5,61172,0,0,16218
2280000,NORMAL:0,0.0,2280000,0,0,0,0,0,0,0,0,0,0,62829,0,0,4,2280000,0,1e-06,153829.0,153829.0,62829,0,0,16218
2340000,NORMAL:0,0.0,2340000,0,0,0,0,0,0,0,0,0,0,64483,0,0,4,2340000,0,1e-06,157880.5,157880.5,64483,0,0,16218
2400000,NORMAL:0,0.0,2400000,0,0,0,0,0,0,0,0,0,0,66137,0,0,4,2400000,0,1e-06,161928.0,161928.0,66137,0,0,16218
2460000,NORMAL:0,0.0,2460000,0,0,0,0,0,0,0,0,0,0,67793,0,0,4,2460000,0,1e-06,165981.5,165981.5,67793,0,0,16218
2520000,NORMAL:0,0.0,2520000,0,0,0,0,0,0,0,0,0,0,69445,0,0,4,2520000,0,1e-06,170027.0,170027.0,69445,0,0,16218
2580000,NORMAL:0,0.0,2580000,0,0,0,0,0,0,0,0,0,0,71101,0,0,4,2580000,0,1e-06,174080.5,174080.5,71101,0,0,16218
2640000,NORMAL:0,0.0,2640000,0,0,0,0,0,0,0,0,0,0,72757,0,0,4,2640000,0,1e-06,178138.0,178138.0,72757,0,0,16218
2700000,NORMAL:0,0.0,2700000,0,0,0,0,0,0,0,0,0,0,74410,0,0,4,2700000,0,1e-06,182184.5,182184.5,74410,0,0,16218
2760000,NORMAL:0,0.0,2760000,0,0,0,0,0,0,0,0,0,0,76067,0,0,4,2760000,0,1e-06,186243.0,186243.0,76067,0,0,16218
2820000,NORMAL:0,0.0,2820000,0,0,0,0,0,0,0,0,0,0,77719,0,0,4,2820000,0,1e-06,190284.5,190284.5,77719,0,0,16218
